Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Mesure de la performance des instances de taille 5000/Alignement optimaux/sol_2,4.823021295772681,4.735974104190973,4.928077341960791,0.16749339055948087,3.2590808711071784e-2,0.20256352077632994
Mesure de la performance des instances de taille 10/Alignement optimaux/sol_1,1.3708449671672737e-5,1.3561233235475224e-5,1.3806971992488012e-5,7.054370856071841e-7,6.268815221552899e-7,7.731461418543922e-7
Mesure de la performance des instances de taille 10/Alignement optimaux/sol_2,2.5847866953112745e-5,2.5703821785275016e-5,2.5944996517950387e-5,7.235089194919601e-7,5.763410803668371e-7,9.040078249034892e-7
Mesure de la performance des instances de taille 13/Alignement optimaux/sol_1,2.240298440321101e-5,2.2219175471921788e-5,2.2662006484687808e-5,1.0271689550506105e-6,8.989923801826507e-7,1.1708855930598859e-6
Mesure de la performance des instances de taille 13/Alignement optimaux/sol_2,4.096177179593222e-5,4.06932249212983e-5,4.120913048310265e-5,2.157998616389104e-6,1.7942349884556889e-6,2.3396474255423497e-6
Mesure de la performance des instances de taille 20/Alignement optimaux/sol_1,5.6009766583054886e-5,5.531486859315684e-5,5.780130119737418e-5,1.0628701873069349e-5,7.74859859464277e-6,1.2269433313531341e-5
Mesure de la performance des instances de taille 20/Alignement optimaux/sol_2,9.004869056977944e-5,8.939886853911885e-5,9.05560109189022e-5,4.274029189039042e-6,3.648358046760417e-6,5.351010988935764e-6
Mesure de la performance des instances de taille 50/Alignement optimaux/sol_1,5.004771691445514e-4,4.928534269245556e-4,5.063647008003189e-4,4.158112791664949e-5,3.644845604529771e-5,4.6535171026092046e-5
Mesure de la performance des instances de taille 50/Alignement optimaux/sol_2,6.290822439775662e-4,6.193910231781163e-4,6.48010469324578e-4,9.583964820940839e-5,8.116755336135833e-5,1.1090080714468168e-4
Mesure de la performance des instances de taille 100/Alignement optimaux/sol_1,3.97500273844939e-3,3.906822499008966e-3,3.9959917353239996e-3,4.3172539950605616e-4,3.714775900795752e-4,5.087692172551119e-4
Mesure de la performance des instances de taille 100/Alignement optimaux/sol_2,3.2647033306230514e-3,3.1826592478289575e-3,3.3673920537717556e-3,7.820380207653617e-4,7.644356316836257e-4,7.939053685401704e-4
Mesure de la performance des instances de taille 500/Alignement optimaux/sol_1,0.27090516361269174,0.24100235103836373,0.3011464343201026,6.1042703592349465e-2,5.430835018435279e-2,6.69659359891462e-2
Mesure de la performance des instances de taille 500/Alignement optimaux/sol_2,6.142374406258351e-2,5.850956738298587e-2,6.320340830027264e-2,7.7523148354980585e-3,6.2773376584416285e-3,9.472956269254176e-3
Mesure de la performance des instances de taille 1000/Alignement optimaux/sol_1,1.601563051895937,1.5645817898748646,1.6231806055402558,4.092275183249679e-2,2.3813531939521595e-2,4.8840211905015155e-2
Mesure de la performance des instances de taille 1000/Alignement optimaux/sol_2,0.21280881660512774,0.20941853074938077,0.21918941826526972,1.0823344980518346e-2,3.063983020131309e-3,1.6205486418938563e-2
